"","Ostan","gorooh","address","NoeKhanevar","TedadAza","SarparstJensiat","SarparstSen","SarparstSavad","SarparstTahsil","SarparstMadrak","SarparstFaaliat","SarparstZanashoyi","NahveTasarof","TedadOtagh","SatheZirbana","NoeEskelet","mashin","motor","docharkhe","radio","radiozabt","tv","tvrangi","video","computer","mobile","freezer","yakhchal","yakhchalfreezer","ojaghgaz","jarobarghi","lebasshoyi","khayati","panke","coolerabimoteharek","coolergazimoteharek","zarfshoyi","microfer","hichkodam","lolekeshiab","bargh","gazlolekeshi","telephone","internet","hamam","ashpazkhane","coolerabisabet","borodatmarkazi","hararatmarkazi","package","coolergazisabet","fazelabshahri","nsokhtpokhtpaz","nsokhtgarma","nsokhtabgarm","HazineKhoraki","HazineNoshidani","HazinePoshak","HazineMaskan","HazineLavazemKhanegi","HazineDarmani","HazineHamlonaghl","HazineErtebatat","HazineTafrihatFarhangi","HazineGhazaAmade","HazineKalaMotefaregheh","HazineKalaBadavam","Target"
"725","kermanshah","6",10509066619,1,2,1,30,"1","2","6",1,1,3,3,80,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,14,24,5825000,560000,0,10200000,990000,0,1e+05,1350000,0,0,630000,0,19178333.3333333
"726","kermanshah","6",10507065414,1,4,1,33,"1","2","1",1,1,3,3,60,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,4,14,24,4433500,0,3e+06,10780000,4e+05,0,150000,130000,0,0,650000,0,11955000
"727","kermanshah","6",10507065423,1,2,1,66,"1","2","1",1,1,1,4,120,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,4,14,24,3925000,750000,0,9750000,760000,150000,150000,120000,0,0,50000,1580760,4238333.33333333
"728","kermanshah","6",10505064121,1,4,1,57,"1","2","5",1,1,1,4,117,3,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,10166800,0,3e+05,8800000,1150000,3100000,2400000,1100000,110000,0,670000,122874156,42083333.3333333
"729","kermanshah","6",10502059820,1,3,1,62,"1","2","2",3,1,1,3,63,3,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,4,14,24,16159000,0,0,8280000,1110000,755000,1900000,448000,0,0,748000,40651880,38297666.6666667
"730","kermanshah","6",10502059829,1,3,2,85,"2",NA,NA,3,2,1,4,110,3,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,4,14,24,8009000,0,2e+05,8990000,1040000,360000,1160000,521000,0,0,560000,43930000,24832500
"731","kermanshah","6",10514069918,1,5,1,60,"1","2","4",1,1,1,4,120,3,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,4,14,24,13178000,0,630000,8700000,890000,2300000,2410000,660000,0,0,620000,39991900,17929166.6666667
"732","kermanshah","6",10509067016,1,5,1,53,"1","2","4",1,1,6,4,100,3,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,4,14,24,11992500,0,220000,8322000,1180000,1270000,320000,605000,0,0,990000,4929000,15884166.6666667
"733","kermanshah","6",10514069923,1,5,1,48,"1","2","1",1,1,1,3,92,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,4,14,24,14891000,750000,2e+06,7552000,1970000,1e+06,8e+05,2e+05,0,0,935000,52940900,32147916.6666667
"734","kermanshah","6",10502061020,1,4,1,31,"1","2","4",1,1,4,3,140,3,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,14,24,10348600,0,2300000,13200000,1220000,4e+05,7e+05,550000,1e+05,0,1020000,0,35060000
"735","kermanshah","6",10505064123,1,3,1,51,"1","2","5",3,1,1,4,140,3,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,7380200,3e+05,250000,9975000,1190000,1840000,1100000,530000,0,0,550000,61477836,41058333.3333333
"736","kermanshah","6",10505064129,1,4,1,31,"1","2","4",1,1,3,4,180,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,14,24,8750000,750000,9e+05,11250000,1100000,2750000,3e+05,5e+05,0,0,1100000,112967520,14791666.6666667
"737","kermanshah","6",10502061023,1,2,1,56,"1","2","2",1,1,1,4,120,3,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,4,14,24,8153500,0,0,15350000,0,5e+05,1e+06,470000,0,0,3e+05,85602220,15343333.3333333
"738","kermanshah","6",10501058514,1,4,1,45,"1","2","1",1,1,4,4,80,3,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,12204500,0,0,11920000,1810000,0,3500000,2400000,0,0,1600000,0,44891666.6666667
"739","kermanshah","6",10501058523,1,6,1,51,"1","2","5",1,1,1,4,110,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,23275500,0,0,9900000,2260000,0,3720000,1740000,0,0,1230000,284255000,55833333.3333333
"740","kermanshah","6",10502062226,1,3,1,63,"1","2","1",3,1,1,3,89,3,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,21131000,0,0,10054000,1330000,4600000,5e+05,730000,0,0,840000,40080000,26523333.3333333
"741","kermanshah","6",10502062217,1,5,1,73,"2",NA,NA,3,1,1,6,150,3,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,8363500,1800000,920000,13900000,1070000,420000,250000,1420000,0,0,2550000,0,19375000
"742","kermanshah","6",10513069024,1,3,1,33,"1","2","2",1,1,1,3,70,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,10360000,0,250000,10460000,930000,0,550000,250000,5e+05,570000,350000,63382000,11106666.6666667
"743","kermanshah","6",10502062229,1,4,1,47,"1","2","1",3,1,1,3,50,3,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,4,14,24,6424000,0,0,7950000,750000,1650000,9e+05,450000,0,0,490000,32990000,2208333.33333333
"744","kermanshah","6",10502059816,1,4,1,65,"1","2","1",3,1,1,4,100,3,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,12642600,2400000,1650000,9065000,575000,430000,1750000,6e+05,0,0,3e+05,43577520,37898333.3333333
"745","kermanshah","6",10513069016,1,2,1,71,"2",NA,NA,1,1,1,5,110,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,4,14,24,15602500,0,1550000,5990000,1375000,2100000,2e+05,190000,0,0,250000,2870760,6963333.33333333
"746","kermanshah","6",10511068218,1,4,1,35,"1","2","6",1,1,1,3,100,3,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,8562800,0,0,10390000,1570000,8e+05,2850000,970000,0,0,530000,98831800,27755000
"747","kermanshah","6",10508066219,1,3,1,89,"1","2","1",3,1,1,4,140,3,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,14,24,9439200,0,0,10675000,1080000,1150000,3e+06,550000,0,0,940000,972410792,88831666.6666667
"748","kermanshah","6",10508066217,1,5,1,70,"2",NA,NA,1,1,1,3,115,3,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,14,24,12347000,0,3300000,9500000,1230000,7450000,11300000,5e+05,0,1150000,1290000,73571900,30183333.3333333
"749","kermanshah","6",10502062616,1,4,1,49,"1","2","4",1,1,1,4,75,2,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,14,24,11092000,0,0,11800000,1870000,4e+05,1270000,750000,0,0,1e+06,162648000,37685000
"750","kermanshah","6",10502062629,1,3,1,57,"1","2","2",3,1,4,4,75,2,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,4,14,24,13809500,3900000,1400000,9830000,1320000,4e+05,3700000,7e+05,0,0,1800000,68740837,33037500
"751","kermanshah","6",10502060223,1,5,1,65,"1","2","1",1,1,1,4,130,3,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,8696000,0,1450000,10810000,1050000,4950000,1400000,1350000,0,0,1e+06,32720000,9083333.33333333
"752","kermanshah","6",10502061426,1,5,1,60,"1","2","5",3,1,1,4,110,3,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,10174000,0,0,11810000,1180000,6270000,2530000,960000,0,0,0,105487684,28800833.3333333
"753","kermanshah","6",10508066223,1,5,1,47,"1","2","6",1,1,1,4,140,3,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,4,14,24,28870000,0,4e+05,9690000,1990000,2500000,3800000,2050000,0,0,1300000,352424000,46983333.3333333
"754","kermanshah","6",10502060226,1,4,2,68,"2",NA,NA,3,2,1,4,110,3,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,10936500,0,4990000,10470000,2310000,1300000,1400000,2850000,0,0,920000,188405600,45008333.3333333
"755","kermanshah","6",10505064517,1,2,1,70,"1","2","1",1,1,1,3,70,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,4,14,24,6022400,0,0,6435000,430000,940000,350000,370000,0,0,370000,4810760,23155000
"756","kermanshah","6",10505064518,1,5,1,61,"1","2","1",1,1,4,3,80,3,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,14,24,11816500,0,970000,8230000,1230000,2230000,740000,7e+05,0,0,680000,24376000,13423333.3333333
"757","kermanshah","6",10510067414,1,6,2,52,"1","2","9",3,2,1,4,108,3,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,12021000,0,0,10790000,1080000,0,1750000,1400000,0,0,1270000,374990000,2431666.66666667
"758","kermanshah","6",10502061423,1,5,1,66,"1","2","4",3,1,1,4,140,3,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,14543500,0,0,14986000,2020000,0,2e+06,1590000,0,0,520000,36459616,55141666.6666667
"759","kermanshah","6",10502061420,1,2,2,57,"2",NA,NA,3,2,1,4,140,3,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,4,14,24,13739000,0,0,14020000,1150000,0,1300000,560000,0,0,520000,18146000,39277500
"760","kermanshah","6",10502061416,1,4,2,76,"2",NA,NA,3,2,4,3,100,3,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,14,24,14299600,0,0,18750000,1360000,2e+06,850000,1100000,0,280000,1120000,64324668,32772500
"761","kermanshah","6",10503063014,1,4,1,40,"1","2","5",1,1,3,4,90,3,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,4,14,24,15466000,0,3850000,6380000,970000,550000,2900000,4e+05,0,0,860000,104270000,28772500
